,Nombre
578,Oeschinensee – Kandersteg
579,Chiomonte Frais
580,Szklarska Poręba – Szrenica
581,Klövsjö/Storhogna
582,Duved/Tegefjäll
583,Gautefall
584,Le Mourtis
585,TschentenAlp – Adelboden
586,Le Grand Puy
587,Val Louron
588,Sjusjøen
589,Kasprowy Wierch – Zakopane
590,Kellerjoch – Schwaz
591,Szymoszkowa
592,Vasilitsa
593,Pescasseroli
594,Klippitztörl
595,Pian Munè – Paesana
596,Planneralm – Donnersbach
597,Bivio
598,Tjørhomfjellet/Ålsheia Skisenter – Sirdal
599,Uvdal Alpinsenter
600,Śnieżka – Karpacz
601,Babin Do – Bjelašnica
602,Bödele – Schwarzenberg
603,Champex-Lac (Orsières)
604,Les Mosses/La Lécherette
605,Spiazzi di Gromo
606,Valdesquí
607,Campo Stella – Leonessa
608,Bugnenets-Savagnières – Saint-Imier
609,Adria Ski – Kupres
610,Puerto Navacerrada
611,Brezovica
612,Czarna Góra – Sienna
613,Aillon-le-Jeune
614,Meander Skipark – Oravice
615,Ötscher – Lackenhof (Gaming)
616,Audibergue
617,Bjursås Ski Center
618,Ascou Pailhères
619,Autrans – La Sure
620,Björnrike
621,Méaudre
622,Palumbosila
623,Azuga
624,Schattwald/Zöblen
625,Borno – Monte Altissimo
626,Amden – Arvenbüel/Mattstock
627,Etna Nord – Linguaglossa
628,Rosswald – Brig
629,Bodrost/Kartala
630,Unternberg (Ruhpolding)
631,SnowWorld Zoetermeer
632,Todtnauberg
633,Saint-Michel-de-Chaillol
634,Saint-Michel-de-Chaillol
635,Chalmazel
636,Gresse en Vercors
637,Dolní Morava – Králický Sněžník
638,Javalambre
639,Passo Rolle (Rolle Pass)
640,Hochrindl – Sirnitz
641,Trillevallen
642,Serles – Mieders
643,Røldal
644,Ramzová-Bonera – Šerák
645,Breitenberg/Hochalpe – Pfronten
646,Paseky nad Jizerou
647,Mittagbahn – Immenstadt
648,Prali
649,Hauereck – St. Kathrein am Hauenstein
650,Graukogel – Bad Gastein
651,Kongsberg (Skimore)
652,Brusson – Estoul
653,Cima Piazzi/San Colombano – Isolaccia/Oga
654,Tanvaldský Špičák
655,Wunderwiese – Puchberg am Schneeberg
656,Vichères (Liddes)
657,Les Monts d'Olmes
658,Bagolino
659,Buková hora – Čenkovice/Červená Voda
660,Vigla Pisoderi/Verno – Florina
661,Kraličák – Hynčice pod Sušinou/Stříbrnice
662,Beskid Sport Arena (Szczyrk)
663,Arvieux
664,Tahko
665,Sappada
666,Transalpina – Vidra/Voineasa
667,Galsterberg – Pruggern
668,Camigliatello Silano
669,Fuentes de Invierno
670,Minschuns – Val Müstair-Tschierv
671,Říčky v Orlických horách
